x,y,Trion_position,Trion_fwhm,Trion_peak_height,Trion_peak_height_norm,Exciton_position,Exciton_fwhm,Exciton_peak_height,Exciton_peak_height_norm,Exciton_Trion_separation,Exciton_Trion_ratio,rmse,ok,n_starts,n_params_at_bounds
0,0,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
1,0,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
2,0,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
3,0,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
0,1,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
1,1,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
2,1,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
3,1,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
0,2,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
1,2,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
2,2,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
3,2,1.91,0.04,119.3662073189215,23.8732414637843,2.0,0.06,132.62911924324612,26.525823848649225,0.09000000000000008,1.1111111111111112,0.04,True,1,0
